locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMFGFLLL_01832	CDS	2058				hypothetical protein
EMFGFLLL_01833	CDS	450	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
EMFGFLLL_01834	CDS	408	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
EMFGFLLL_01835	CDS	504	eis	2.3.1.-		N-acetyltransferase Eis
EMFGFLLL_01836	CDS	528	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
EMFGFLLL_01837	CDS	2055				hypothetical protein
EMFGFLLL_01838	CDS	1014	yhbU	3.4.-.-	COG0826	putative protease YhbU
EMFGFLLL_01839	CDS	879				hypothetical protein
EMFGFLLL_01840	CDS	1335	mepA_2		COG0534	Multidrug export protein MepA
EMFGFLLL_01841	CDS	408	slyA		COG1846	Transcriptional regulator SlyA
EMFGFLLL_01842	CDS	912	nlpI		COG4785	Lipoprotein NlpI
EMFGFLLL_01843	CDS	2127	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
EMFGFLLL_01844	CDS	270	rpsO		COG0184	30S ribosomal protein S15
EMFGFLLL_01845	CDS	939	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
EMFGFLLL_01846	CDS	399	rbfA		COG0858	Ribosome-binding factor A
EMFGFLLL_01847	CDS	2697	infB		COG0532	Translation initiation factor IF-2
EMFGFLLL_01848	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
EMFGFLLL_01849	CDS	456	rimP		COG0779	Ribosome maturation factor RimP
EMFGFLLL_01850	tRNA	77				tRNA-Met(cat)
EMFGFLLL_01851	tRNA	84				tRNA-Leu(gag)
EMFGFLLL_01852	CDS	336	secG		COG1314	Protein-export membrane protein SecG
EMFGFLLL_01853	CDS	183				hypothetical protein
EMFGFLLL_01854	CDS	1341	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
EMFGFLLL_01855	CDS	837	folP	2.5.1.15	COG0294	Dihydropteroate synthase
EMFGFLLL_01856	CDS	1956	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
EMFGFLLL_01857	CDS	630	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
EMFGFLLL_01858	CDS	297	yhbY		COG1534	RNA-binding protein YhbY
EMFGFLLL_01859	CDS	474	greA		COG0782	Transcription elongation factor GreA
EMFGFLLL_01860	CDS	1038	ompU_2		COG3203	Outer membrane protein U
EMFGFLLL_01861	CDS	1446	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
EMFGFLLL_01862	CDS	1188	tyrS_1	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EMFGFLLL_01863	CDS	1302	mepM_2	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
EMFGFLLL_01864	CDS	3120	mdtB			Multidrug resistance protein MdtB
EMFGFLLL_01865	CDS	1101	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
EMFGFLLL_01866	CDS	342	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
EMFGFLLL_01867	CDS	1299	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
EMFGFLLL_01868	CDS	156				hypothetical protein
EMFGFLLL_01869	CDS	1086	ydiK		COG0628	Putative transport protein YdiK
EMFGFLLL_01870	CDS	1023	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
EMFGFLLL_01871	CDS	3534	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
EMFGFLLL_01872	CDS	1671	sgrR_3			HTH-type transcriptional regulator SgrR
EMFGFLLL_01873	CDS	987	dppB_1		COG0601	Dipeptide transport system permease protein DppB
EMFGFLLL_01874	CDS	1026	dppC_1		COG1173	Dipeptide transport system permease protein DppC
EMFGFLLL_01875	CDS	984	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
EMFGFLLL_01876	CDS	996	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
EMFGFLLL_01877	CDS	1725				hypothetical protein
EMFGFLLL_01878	CDS	885	gspK_1	2.7.1.8	COG2971	Glucosamine kinase GspK
EMFGFLLL_01879	CDS	1914	exoI	3.2.1.52	COG3525	Beta-hexosaminidase
EMFGFLLL_01880	CDS	2406	chbP	2.4.1.280	COG3459	N,N'-diacetylchitobiose phosphorylase
EMFGFLLL_01881	CDS	1413	pgm_2	5.4.2.2	COG0033	Phosphoglucomutase
EMFGFLLL_01882	CDS	1032	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EMFGFLLL_01883	CDS	1626				hypothetical protein
EMFGFLLL_01884	CDS	1014	futA1			Iron uptake protein A1
EMFGFLLL_01885	CDS	1230	amtB			Ammonia channel
EMFGFLLL_01886	CDS	339	glnB_2		COG0347	Nitrogen regulatory protein P-II
EMFGFLLL_01887	CDS	381				hypothetical protein
EMFGFLLL_01888	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
EMFGFLLL_01889	CDS	99				hypothetical protein
EMFGFLLL_01890	CDS	2292	bamA_2			Outer membrane protein assembly factor BamA
EMFGFLLL_01891	CDS	2334	mrcB		COG0744	Penicillin-binding protein 1B
EMFGFLLL_01892	CDS	2463	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
EMFGFLLL_01893	CDS	1311				hypothetical protein
EMFGFLLL_01894	CDS	771	sfsA		COG1489	Sugar fermentation stimulation protein A
EMFGFLLL_01895	CDS	447	dksA		COG1734	RNA polymerase-binding transcription factor DksA
EMFGFLLL_01896	CDS	891	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
EMFGFLLL_01897	CDS	1374	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
EMFGFLLL_01898	CDS	504	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
EMFGFLLL_01899	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
EMFGFLLL_01900	CDS	882	panC	6.3.2.1	COG0414	Pantothenate synthetase
EMFGFLLL_01901	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
EMFGFLLL_01902	CDS	918	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
EMFGFLLL_01903	CDS	1647	bicA		COG0659	Bicarbonate transporter BicA
EMFGFLLL_01904	CDS	669	can	4.2.1.1	COG0288	Carbonic anhydrase 2
EMFGFLLL_01905	CDS	534	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
EMFGFLLL_01906	CDS	612	luxR			HTH-type transcriptional regulator LuxR
EMFGFLLL_01907	CDS	867	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
EMFGFLLL_01908	CDS	1812	lpoA		COG3107	Penicillin-binding protein activator LpoA
EMFGFLLL_01909	CDS	324				hypothetical protein
EMFGFLLL_01910	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
EMFGFLLL_01911	CDS	570				hypothetical protein
EMFGFLLL_01912	CDS	465				hypothetical protein
EMFGFLLL_01913	CDS	636	sspA		COG0625	Stringent starvation protein A
EMFGFLLL_01914	CDS	738	petC		COG2857	Ammonia monooxygenase gamma subunit
EMFGFLLL_01915	CDS	1266	petB		COG1290	Cytochrome b
EMFGFLLL_01916	CDS	594	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
EMFGFLLL_01917	CDS	393	rpsI		COG0103	30S ribosomal protein S9
EMFGFLLL_01918	CDS	429	rplM		COG0102	50S ribosomal protein L13
EMFGFLLL_01919	CDS	1104	zapE		COG1485	Cell division protein ZapE
EMFGFLLL_01920	CDS	438	yhcB		COG3105	Inner membrane protein YhcB
EMFGFLLL_01921	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
EMFGFLLL_01922	CDS	1056	degS	3.4.21.107	COG0265	Serine endoprotease DegS
EMFGFLLL_01923	CDS	354	rplS		COG0335	50S ribosomal protein L19
EMFGFLLL_01924	CDS	744	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
EMFGFLLL_01925	CDS	555	rimM		COG0806	Ribosome maturation factor RimM
EMFGFLLL_01926	CDS	249	rpsP		COG0228	30S ribosomal protein S16
EMFGFLLL_01927	CDS	1386	ffh		COG0541	Signal recognition particle protein
EMFGFLLL_01928	CDS	96				hypothetical protein
EMFGFLLL_01929	CDS	795	ypjD		COG4137	Inner membrane protein YpjD
EMFGFLLL_01930	CDS	1281				hypothetical protein
EMFGFLLL_01931	CDS	519	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
EMFGFLLL_01932	CDS	1575	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
EMFGFLLL_01933	CDS	2856				hypothetical protein
EMFGFLLL_01934	CDS	462	yqaA		COG1238	Inner membrane protein YqaA
EMFGFLLL_01935	CDS	951	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
EMFGFLLL_01936	CDS	1131	gcdB	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
EMFGFLLL_01937	CDS	1788	oadA_1	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
EMFGFLLL_01938	CDS	261	oadG_1	7.2.4.2		oxaloacetate decarboxylase gamma chain
EMFGFLLL_01939	tRNA	77				tRNA-Arg(acg)
EMFGFLLL_01940	tRNA	77				tRNA-Arg(acg)
EMFGFLLL_01941	tRNA	77				tRNA-Arg(acg)
EMFGFLLL_01942	tRNA	77				tRNA-Arg(acg)
EMFGFLLL_01943	tRNA	75				tRNA-Arg(acg)
EMFGFLLL_01944	tRNA	93				tRNA-Ser(gct)
EMFGFLLL_01945	CDS	198	csrA		COG1551	Carbon storage regulator
EMFGFLLL_01946	CDS	1146		2.7.2.4	COG0527	Aspartate kinase
EMFGFLLL_01947	CDS	2583	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
EMFGFLLL_01948	CDS	459	recX		COG2137	Regulatory protein RecX
EMFGFLLL_01949	CDS	1065	recA		COG0468	Protein RecA
EMFGFLLL_01950	CDS	507	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
EMFGFLLL_01951	CDS	1131	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
EMFGFLLL_01952	CDS	864	cysW		COG4208	Sulfate transport system permease protein CysW
EMFGFLLL_01953	CDS	852	cysT		COG0555	Sulfate transport system permease protein CysT
EMFGFLLL_01954	CDS	1002	cysP		COG4150	Thiosulfate-binding protein
EMFGFLLL_01955	CDS	888	cysM_2	2.5.1.47	COG0031	Cysteine synthase B
EMFGFLLL_01956	CDS	2586	mutS		COG0249	DNA mismatch repair protein MutS
EMFGFLLL_01957	CDS	1008	rpoS		COG0568	RNA polymerase sigma factor RpoS
EMFGFLLL_01958	CDS	936	nlpD			Murein hydrolase activator NlpD
EMFGFLLL_01959	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
EMFGFLLL_01960	CDS	753	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
EMFGFLLL_01961	CDS	1086	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
EMFGFLLL_01962	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
EMFGFLLL_01963	CDS	699	ispD_1	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
EMFGFLLL_01964	CDS	285	ftsB		COG2919	Cell division protein FtsB
EMFGFLLL_01965	CDS	804	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
EMFGFLLL_01966	CDS	507	folK_2	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
EMFGFLLL_01967	CDS	354	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
EMFGFLLL_01968	CDS	630	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
EMFGFLLL_01969	CDS	813	catD_2	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
EMFGFLLL_01970	CDS	1020	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
EMFGFLLL_01971	CDS	216	rpsU		COG0828	30S ribosomal protein S21
EMFGFLLL_01972	CDS	444	yqeY		COG1610	putative protein YqeY
EMFGFLLL_01973	CDS	1764	dnaG	2.7.7.-	COG0358	DNA primase
EMFGFLLL_01974	CDS	1878	rpoD		COG0568	RNA polymerase sigma factor RpoD
EMFGFLLL_01975	tRNA	76				tRNA-Met(cat)
EMFGFLLL_01976	CDS	1761				hypothetical protein
EMFGFLLL_01977	CDS	1080			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
EMFGFLLL_01978	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EMFGFLLL_01979	CDS	771	srlR		COG1349	Glucitol operon repressor
EMFGFLLL_01980	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
EMFGFLLL_01981	CDS	132				hypothetical protein
EMFGFLLL_01982	CDS	696				hypothetical protein
EMFGFLLL_01983	CDS	897	argP_1		COG0583	HTH-type transcriptional regulator ArgP
EMFGFLLL_01984	CDS	636	argO		COG1279	Arginine exporter protein ArgO
EMFGFLLL_01985	CDS	864	mscS		COG0668	Small-conductance mechanosensitive channel
EMFGFLLL_01986	CDS	1077	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
EMFGFLLL_01987	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
EMFGFLLL_01988	CDS	1089	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
EMFGFLLL_01989	CDS	1944	cirA		COG4771	Colicin I receptor
EMFGFLLL_01990	CDS	897	hdfR_3			HTH-type transcriptional regulator HdfR
EMFGFLLL_01991	CDS	1998	tktA_2	2.2.1.1	COG0021	Transketolase 1
EMFGFLLL_01992	CDS	1158	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
EMFGFLLL_01993	CDS	489	sprT			Protein SprT
EMFGFLLL_01994	CDS	696	dns	3.1.21.-	COG2356	Extracellular deoxyribonuclease
EMFGFLLL_01995	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
EMFGFLLL_01996	CDS	957	gshB	6.3.2.3	COG0189	Glutathione synthetase
EMFGFLLL_01997	CDS	564				hypothetical protein
EMFGFLLL_01998	CDS	423	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EMFGFLLL_01999	CDS	1116	tyrS_2	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EMFGFLLL_02000	CDS	171	tyrS_3	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EMFGFLLL_02001	CDS	798				hypothetical protein
EMFGFLLL_02002	CDS	1107	pilT_1		COG2805	Twitching mobility protein
EMFGFLLL_02003	CDS	1038	pilT_2		COG2805	Twitching mobility protein
EMFGFLLL_02004	CDS	711	yggS		COG0325	Pyridoxal phosphate homeostasis protein
EMFGFLLL_02005	CDS	819	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
EMFGFLLL_02006	CDS	558				hypothetical protein
EMFGFLLL_02007	CDS	291				hypothetical protein
EMFGFLLL_02008	CDS	432				hypothetical protein
EMFGFLLL_02009	CDS	603	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
EMFGFLLL_02010	CDS	1176	hemW		COG0635	Heme chaperone HemW
EMFGFLLL_02011	CDS	921	glsA2	3.5.1.2	COG2066	Glutaminase 2
EMFGFLLL_02012	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
EMFGFLLL_02013	CDS	1062	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
EMFGFLLL_02014	CDS	273	yggX		COG2924	putative Fe(2+)-trafficking protein
EMFGFLLL_02015	CDS	1128	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
EMFGFLLL_02016	tRNA	76				tRNA-Phe(gaa)
EMFGFLLL_02017	tRNA	76				tRNA-Thr(tgt)
EMFGFLLL_02018	tRNA	76				tRNA-Phe(gaa)
EMFGFLLL_02019	tRNA	76				tRNA-Asn(gtt)
EMFGFLLL_02020	CDS	1626	mcpP_2		COG0840	Methyl-accepting chemotaxis protein McpP
EMFGFLLL_02021	tRNA	76				tRNA-Phe(gaa)
EMFGFLLL_02022	tRNA	76				tRNA-Thr(tgt)
EMFGFLLL_02023	tRNA	76				tRNA-Asn(gtt)
EMFGFLLL_02024	tRNA	76				tRNA-Thr(tgt)
EMFGFLLL_02025	tRNA	76				tRNA-Asn(gtt)
EMFGFLLL_02026	CDS	855	djlA		COG1076	Co-chaperone protein DjlA
EMFGFLLL_02027	CDS	2352	lptD		COG1452	LPS-assembly protein LptD
EMFGFLLL_02028	CDS	1296	surA	5.2.1.8	COG0760	Chaperone SurA
EMFGFLLL_02029	CDS	993	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
EMFGFLLL_02030	CDS	816	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EMFGFLLL_02031	CDS	381	apaG		COG2967	Protein ApaG
EMFGFLLL_02032	CDS	810	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
EMFGFLLL_02033	CDS	498	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
EMFGFLLL_02034	CDS	474				hypothetical protein
EMFGFLLL_02035	CDS	762	yjjP		COG2966	Inner membrane protein YjjP
EMFGFLLL_02036	CDS	1173	cgtA	3.6.5.-	COG0536	GTPase Obg/CgtA
EMFGFLLL_02037	CDS	261	rpmA		COG0211	50S ribosomal protein L27
EMFGFLLL_02038	CDS	312	rplU		COG0261	50S ribosomal protein L21
EMFGFLLL_02039	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
EMFGFLLL_02040	CDS	1407	ydgI		COG0531	Putative arginine/ornithine antiporter
EMFGFLLL_02041	CDS	936	mdh	1.1.1.37	COG0039	Malate dehydrogenase
EMFGFLLL_02042	CDS	471	argR			Arginine repressor
EMFGFLLL_02043	CDS	969				hypothetical protein
EMFGFLLL_02044	CDS	2565				hypothetical protein
EMFGFLLL_02045	CDS	438	uspF		COG0589	Universal stress protein F
EMFGFLLL_02046	CDS	384				hypothetical protein
EMFGFLLL_02047	CDS	798				hypothetical protein
EMFGFLLL_02048	CDS	423	rraB		COG3076	Regulator of ribonuclease activity B
EMFGFLLL_02049	CDS	1224	arcA_1	3.5.3.6	COG2235	Arginine deiminase
EMFGFLLL_02050	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
EMFGFLLL_02051	CDS	828	nit1	3.5.1.128		Deaminated glutathione amidase
EMFGFLLL_02052	CDS	3840				hypothetical protein
EMFGFLLL_02053	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
EMFGFLLL_02054	CDS	564	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
EMFGFLLL_02055	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
EMFGFLLL_02056	CDS	891	mreC		COG1792	Cell shape-determining protein MreC
EMFGFLLL_02057	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
EMFGFLLL_02058	CDS	4404				hypothetical protein
EMFGFLLL_02059	CDS	417				hypothetical protein
EMFGFLLL_02060	CDS	771				hypothetical protein
EMFGFLLL_02061	CDS	567				hypothetical protein
EMFGFLLL_02062	CDS	513				hypothetical protein
EMFGFLLL_02063	CDS	477				hypothetical protein
EMFGFLLL_02064	CDS	555				hypothetical protein
EMFGFLLL_02065	CDS	453				hypothetical protein
EMFGFLLL_02066	CDS	1224	epsF_1		COG1459	Type II secretion system protein F
EMFGFLLL_02067	CDS	1728				hypothetical protein
EMFGFLLL_02068	CDS	1152				hypothetical protein
EMFGFLLL_02069	CDS	846				hypothetical protein
EMFGFLLL_02070	CDS	1665	sctC_2			Type 3 secretion system secretin
EMFGFLLL_02071	CDS	318				hypothetical protein
EMFGFLLL_02072	CDS	651				hypothetical protein
EMFGFLLL_02073	CDS	1440				hypothetical protein
EMFGFLLL_02074	CDS	2013	csrD			RNase E specificity factor CsrD
EMFGFLLL_02075	CDS	534	ssb			Single-stranded DNA-binding protein
EMFGFLLL_02076	CDS	645	malT_3			HTH-type transcriptional regulator MalT
EMFGFLLL_02077	CDS	876	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
EMFGFLLL_02078	CDS	2823	uvrA		COG0178	UvrABC system protein A
EMFGFLLL_02079	CDS	1785				hypothetical protein
EMFGFLLL_02080	CDS	1119	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
EMFGFLLL_02081	CDS	1356	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
EMFGFLLL_02082	CDS	3681	metH	2.1.1.13	COG0646	Methionine synthase
EMFGFLLL_02083	CDS	1335	nhaP		COG0025	Na(+)/H(+) antiporter NhaP
EMFGFLLL_02084	rRNA	110				5S ribosomal RNA
EMFGFLLL_02085	tRNA	77				tRNA-Asp(gtc)
EMFGFLLL_02086	CDS	1005	add	3.5.4.4	COG1816	Adenosine deaminase
EMFGFLLL_02087	CDS	2532				hypothetical protein
EMFGFLLL_02088	CDS	1401	glnG		COG2204	DNA-binding transcriptional regulator NtrC
EMFGFLLL_02089	CDS	1065	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
EMFGFLLL_02090	CDS	591				hypothetical protein
EMFGFLLL_02091	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
EMFGFLLL_02092	CDS	324				hypothetical protein
EMFGFLLL_02093	CDS	1830	typA_1		COG1217	GTP-binding protein TypA/BipA
EMFGFLLL_02094	CDS	531				hypothetical protein
EMFGFLLL_02095	CDS	930				hypothetical protein
EMFGFLLL_02096	CDS	435	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
EMFGFLLL_02097	CDS	927				hypothetical protein
EMFGFLLL_02098	CDS	1887				hypothetical protein
EMFGFLLL_02099	CDS	1629	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
EMFGFLLL_02100	CDS	891	hslO		COG1281	33 kDa chaperonin
EMFGFLLL_02101	CDS	378	hslR		COG1188	Heat shock protein 15
EMFGFLLL_02102	CDS	918	epsC		COG3031	Type II secretion system protein C
EMFGFLLL_02103	CDS	2028	epsD			Secretin GspD
EMFGFLLL_02104	CDS	1512	epsE		COG2804	Type II secretion system protein E
EMFGFLLL_02105	CDS	1221	epsF_2		COG1459	Type II secretion system protein F
EMFGFLLL_02106	CDS	441	epsG		COG2165	Type II secretion system protein G
EMFGFLLL_02107	CDS	585	epsH			Type II secretion system protein H
EMFGFLLL_02108	CDS	354	xcpV		COG2165	Type II secretion system protein I
EMFGFLLL_02109	CDS	630	xcpW		COG4795	Type II secretion system protein J
EMFGFLLL_02110	CDS	1011	gspK_2		COG3156	Putative type II secretion system protein K
EMFGFLLL_02111	CDS	1212	epsL		COG3297	Type II secretion system protein L
EMFGFLLL_02112	CDS	498	epsM_1		COG3149	Type II secretion system protein M
EMFGFLLL_02113	CDS	759	outN			Type II secretion system protein N
EMFGFLLL_02114	CDS	828	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
EMFGFLLL_02115	CDS	549	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
EMFGFLLL_02116	CDS	588	nfuA		COG0316	Fe/S biogenesis protein NfuA
EMFGFLLL_02117	CDS	489				hypothetical protein
EMFGFLLL_02118	CDS	789	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
EMFGFLLL_02119	CDS	471				hypothetical protein
EMFGFLLL_02120	CDS	2322	yhgF		COG2183	Protein YhgF
EMFGFLLL_02121	CDS	483	greB		COG0782	Transcription elongation factor GreB
EMFGFLLL_02122	CDS	960				hypothetical protein
EMFGFLLL_02123	CDS	723	ompR			Transcriptional regulatory protein OmpR
EMFGFLLL_02124	CDS	1317	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
EMFGFLLL_02125	CDS	1401	xanP		COG2233	Xanthine permease XanP
EMFGFLLL_02126	CDS	2079	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
EMFGFLLL_02127	CDS	2118	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
EMFGFLLL_02128	CDS	273	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
EMFGFLLL_02129	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
EMFGFLLL_02130	CDS	672	yhhQ		COG1738	Queuosine precursor transporter
EMFGFLLL_02131	CDS	1704	actP		COG4147	Cation/acetate symporter ActP
EMFGFLLL_02132	CDS	267				hypothetical protein
EMFGFLLL_02133	CDS	1746	nhaP2_1		COG3263	K(+)/H(+) antiporter NhaP2
EMFGFLLL_02134	CDS	630	narL		COG2197	putative transcriptional regulatory protein NarL
EMFGFLLL_02135	CDS	1803	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
EMFGFLLL_02136	CDS	3606	pulA	3.2.1.41		Pullulanase
EMFGFLLL_02137	CDS	1308	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
EMFGFLLL_02138	CDS	1452	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
EMFGFLLL_02139	CDS	939				hypothetical protein
EMFGFLLL_02140	CDS	486				hypothetical protein
EMFGFLLL_02141	CDS	477	trmL_2	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EMFGFLLL_02142	CDS	618	sodA	1.15.1.1		Superoxide dismutase [Mn]
EMFGFLLL_02143	CDS	1395	cpxA	2.7.13.3		Sensor histidine kinase CpxA
EMFGFLLL_02144	CDS	687	cpxR		COG0745	Transcriptional regulatory protein CpxR
EMFGFLLL_02145	CDS	504	cpxP		COG3678	Periplasmic protein CpxP
EMFGFLLL_02146	CDS	906	fieF		COG0053	Ferrous-iron efflux pump FieF
EMFGFLLL_02147	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
EMFGFLLL_02148	CDS	1008	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
EMFGFLLL_02149	CDS	243	zapB		COG3074	Cell division protein ZapB
EMFGFLLL_02150	CDS	888	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
EMFGFLLL_02151	CDS	2412	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
EMFGFLLL_02152	CDS	1167	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
EMFGFLLL_02153	CDS	318	metJ		COG3060	Met repressor
EMFGFLLL_02154	CDS	1278	maeB	1.1.1.40	COG0281	NADP-dependent malic enzyme
EMFGFLLL_02155	CDS	219	rpmE		COG0254	50S ribosomal protein L31
EMFGFLLL_02156	CDS	2205	priA	3.6.4.-	COG1198	Primosomal protein N'
EMFGFLLL_02157	CDS	1008	cytR		COG1609	HTH-type transcriptional repressor CytR
EMFGFLLL_02158	CDS	552	ftsN			Cell division protein FtsN
EMFGFLLL_02159	CDS	558	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
EMFGFLLL_02160	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
